Subject,Object
http://umbel.org/umbel/rc/Primate,http://umbel.org/umbel/rc/TerrestrialOrganism
http://umbel.org/umbel/rc/Primate,http://umbel.org/umbel#Animals
http://umbel.org/umbel/rc/Primate,http://umbel.org/umbel/rc/Eutheria
http://umbel.org/umbel/rc/TerrestrialOrganism,http://umbel.org/umbel#TopicsCategories
http://umbel.org/umbel/rc/TerrestrialOrganism,http://umbel.org/umbel/rc/Organism_Whole
http://umbel.org/umbel/rc/Organism_Whole,http://umbel.org/umbel/rc/BiologicalLivingObject
http://umbel.org/umbel/rc/Organism_Whole,http://umbel.org/umbel#TopicsCategories
http://www.mygrid.org.uk/ontology#bioinformatics_metadata,http://www.mygrid.org.uk/ontology#bioinformatics_data
http://www.mygrid.org.uk/ontology#bioinformatics_metadata,http://www.mygrid.org.uk/ontology#metadata
http://www.mygrid.org.uk/ontology#bioinformatics_data,http://www.mygrid.org.uk/ontology#bioinformatics_data_or_data_structure
http://www.mygrid.org.uk/ontology#bioinformatics_data,http://www.mygrid.org.uk/ontology#data
http://www.mygrid.org.uk/ontology#biological_data,http://www.mygrid.org.uk/ontology#bioinformatics_data
http://www.mygrid.org.uk/ontology#biological_data,http://www.mygrid.org.uk/ontology#bioinformatics_physical_structure
http://www.mygrid.org.uk/ontology#biological_data,http://www.mygrid.org.uk/ontology#data
http://www.mygrid.org.uk/ontology#bioinformatics_data_or_data_structure,http://www.mygrid.org.uk/ontology#informatics_physical_structure
http://www.mygrid.org.uk/ontology#data,http://www.mygrid.org.uk/ontology#informatics_physical_structure
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_bronchus_or_lung_unspecified_C0348343
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Lower_respiratory_tract_neoplasms_C0852127
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Lung_Neoplasms_C0024121
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379,http://swpatho.ag-nbi.de/owldata/swpatho1/umlssn.owl#Neoplastic_Process_T191
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_bronchus_or_lung_unspecified_C0348343,http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_lung_C0242379
http://swpatho.ag-nbi.de/owldata/swpatho1/swpatho1.owl#Malignant_neoplasm_of_bronchus_or_lung_unspecified_C0348343,http://swpatho.ag-nbi.de/owldata/swpatho1/umlssn.owl#Neoplastic_Process_T191
http://swpatho.ag-nbi.de/owldata/swpatho1/umlssn.owl#Neoplastic_Process_T191,http://swpatho.ag-nbi.de/owldata/swpatho1/umlssn.owl#Disease_or_Syndrome_T047
http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA,http://sw.opencyc.org/concept/Mx4rwTGgF5wpEbGdrcN5Y29ycA
http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA,http://sw.opencyc.org/concept/Mx4rmGpnQkp4EdefhACgycbRfg
http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA,http://www.w3.org/2000/01/rdf-schema#Literal
http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA,http://sw.opencyc.org/concept/Mx4rvVjyqpwpEbGdrcN5Y29ycA
http://sw.opencyc.org/concept/Mx4rvVieEpwpEbGdrcN5Y29ycA,http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WJ4SnCkRsZ2tw3ljb3JwHiuv7Y0anuxB2J2gvlXLFgwa
http://sw.opencyc.org/concept/Mx4rwTGgF5wpEbGdrcN5Y29ycA,http://sw.opencyc.org/concept/Mx4rvVjzL5wpEbGdrcN5Y29ycA
